"Levels of Key Employment Indicators: April 2005 to June 2026"
"Year","Month","Total Population 15 Years Old and Over Both sexes","Total Population 15 Years Old and Over Male","Total Population 15 Years Old and Over Female","Persons in the Labor Force Both sexes","Persons in the Labor Force Male","Persons in the Labor Force Female","Employed Persons Both sexes","Employed Persons Male","Employed Persons Female","Unemployed Persons Both sexes","Unemployed Persons Male","Unemployed Persons Female","Underemployed Persons Both sexes","Underemployed Persons Male","Underemployed Persons Female"
"2005","January",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2005","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2005","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2005","April",54194.858,27027.999,27166.859,35129.827,21491.801,13638.027,32221.085,19700.303,12520.782,2908.742,1791.497,1117.245,8421.102,5686.018,2735.084
"2005","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2005","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2005","July",54583.100,27196.485,27386.616,35236.487,21623.869,13612.618,32521.695,19976.578,12545.117,2714.792,1647.291,1067.500,6660.303,4666.893,1993.410
"2005","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2005","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2005","October",54798.701,27342.401,27456.300,35494.050,21821.495,13672.555,32875.281,20204.805,12670.476,2618.769,1616.690,1002.079,6962.394,4839.357,2123.037
"2005","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2005","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2005","Annual",54525.553,27188.962,27336.592,35286.788,21645.722,13641.067,32539.354,19960.562,12578.792,2747.434,1685.159,1062.275,7347.933,5064.089,2283.844
"2006","January",54828.735,27300.578,27528.157,34868.478,21671.995,13196.483,32031.302,19854.276,12177.026,2837.176,1817.719,1019.457,6773.668,4751.087,2022.581
"2006","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2006","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2006","April",54975.534,27394.316,27581.218,35633.475,21800.922,13832.553,32698.970,19912.719,12786.251,2934.505,1888.203,1046.302,8308.589,5637.949,2670.640
"2006","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2006","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2006","July",55474.536,27639.218,27835.319,35843.821,21795.360,14048.461,32925.757,19995.743,12930.014,2918.064,1799.617,1118.447,7717.921,5285.558,2432.363
"2006","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2006","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2006","October",55638.429,27749.404,27889.025,35510.772,21974.642,13536.130,32885.759,20289.438,12596.321,2625.013,1685.204,939.809,6680.880,4687.126,1993.753
"2006","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2006","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2006","Annual",55229.309,27520.879,27708.430,35464.137,21810.730,13653.407,32635.447,20013.044,12622.403,2828.690,1797.686,1031.004,7370.265,5090.430,2279.834
"2007","January",56144.635,27967.611,28177.024,36394.929,22108.390,14286.539,33545.365,20314.219,13231.146,2849.564,1794.171,1055.393,7213.782,4991.487,2222.295
"2007","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2007","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2007","April",56411.277,28109.859,28301.418,36395.743,22483.467,13912.276,33703.914,20753.697,12950.218,2691.829,1729.771,962.058,6378.019,4481.317,1896.702
"2007","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2007","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2007","July",56856.751,28325.887,28530.864,36142.159,22099.327,14042.832,33318.046,20346.924,12971.123,2824.112,1752.403,1071.709,7327.007,5040.253,2286.754
"2007","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2007","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2007","October",56845.281,28329.799,28515.482,35917.605,22178.497,13739.108,33672.063,20754.362,12917.702,2245.542,1424.136,821.406,6109.223,4282.291,1826.932
"2007","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2007","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2007","Annual",56564.486,28183.289,28381.197,36212.609,22217.420,13995.189,33559.847,20542.301,13017.547,2652.762,1675.120,977.642,6757.008,4698.837,2058.171
"2008","January",57389.725,28534.024,28855.702,36368.044,22394.996,13973.047,33692.558,20654.209,13038.349,2675.486,1740.787,934.699,6367.850,4443.536,1924.314
"2008","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2008","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2008","April",57699.555,28710.662,28988.893,36449.517,22593.670,13855.847,33535.202,20773.686,12761.516,2914.316,1819.984,1094.332,6624.737,4640.067,1984.670
"2008","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2008","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2008","July",58119.298,28900.968,29218.330,37342.801,22831.480,14511.321,34593.311,21132.488,13460.823,2749.490,1698.992,1050.498,7293.135,5057.444,2235.691
"2008","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2008","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2008","October",58181.555,28989.846,29191.710,37058.317,22871.809,14186.508,34533.022,21276.130,13256.892,2525.296,1595.679,929.616,6028.624,4334.443,1694.181
"2008","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2008","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2008","Annual",57847.533,28783.875,29063.659,36804.670,22672.989,14131.681,34088.523,20959.128,13129.395,2716.147,1713.861,1002.286,6578.587,4618.873,1959.714
"2009","January",58656.801,29151.000,29505.801,37116.083,22818.234,14297.849,34261.611,20989.377,13272.235,2854.472,1828.857,1025.615,6237.966,4404.664,1833.302
"2009","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2009","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2009","April",59073.515,29345.747,29727.769,37823.860,23180.783,14643.077,34996.535,21441.337,13555.198,2827.324,1739.445,1087.879,6620.589,4536.263,2084.326
"2009","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2009","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2009","July",59511.972,29620.034,29891.938,38436.691,23266.471,15170.220,35513.883,21491.739,14022.143,2922.808,1774.732,1148.076,7036.214,4825.868,2210.346
"2009","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2009","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2009","October",59705.484,29733.364,29972.120,38197.021,23433.207,14763.814,35477.572,21697.632,13779.940,2719.449,1735.575,983.873,6875.561,4807.272,2068.289
"2009","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2009","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2009","Annual",59236.943,29462.536,29774.407,37893.414,23174.674,14718.740,35062.400,21405.021,13657.379,2831.013,1769.652,1061.361,6692.583,4643.517,2049.066
"2010","January",60207.929,29990.297,30217.633,38828.281,23514.597,15313.684,36000.930,21686.615,14314.315,2827.351,1827.982,999.369,7107.443,4886.832,2220.610
"2010","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2010","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2010","April",60561.131,30114.914,30446.217,38511.629,23520.576,14991.053,35412.513,21584.448,13828.065,3099.116,1936.128,1162.988,6296.645,4333.322,1963.323
"2010","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2010","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2010","July",60928.463,30323.108,30605.355,38946.395,23838.256,15108.139,36236.908,22141.523,14095.386,2709.487,1696.734,1012.753,6502.322,4519.660,1982.661
"2010","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2010","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2010","October",61168.642,30465.392,30703.251,39286.862,24043.566,15243.295,36488.222,22271.961,14216.261,2798.639,1771.605,1027.034,7141.299,4978.880,2162.419
"2010","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2010","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2010","Annual",60716.541,30223.428,30493.114,38893.292,23729.249,15164.043,36034.643,21921.137,14113.507,2858.648,1808.112,1050.536,6761.927,4679.674,2082.253
"2011","January",61531.138,30592.102,30939.036,39210.201,24020.688,15189.513,36292.904,22192.663,14100.242,2917.296,1828.025,1089.271,7049.824,4879.358,2170.466
"2011","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2011","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2011","April",61778.239,30741.352,31036.888,39690.813,24220.298,15470.514,36819.612,22383.489,14436.123,2871.201,1836.809,1034.391,7127.050,4922.721,2204.329
"2011","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2011","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2011","July",62053.066,30916.397,31136.669,39927.916,24241.204,15686.712,37106.049,22475.257,14630.792,2821.867,1765.947,1055.920,7095.068,4853.277,2241.791
"2011","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2011","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2011","October",62167.685,30969.779,31197.906,41193.053,24898.486,16294.567,38549.607,23241.365,15308.242,2643.447,1657.122,986.325,7380.947,4995.108,2385.839
"2011","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
